greV,greQ,greA,cgpa,univName
167.0,170.0,5.0,9.55,University Of Texas At Austin
160.0,150.0,3.5,3.53,University Of Maryland
155.0,163.0,5.0,3.01,University Of Southern California
156.0,167.0,3.0,3.45,North Carolina State University
156.0,167.0,3.0,3.45,Stanford University
165.0,167.0,5.0,3.88,Stanford University
160.0,170.0,4.5,3.63,University Of Pennsylvania
160.0,169.0,6.0,3.76,Vanderbilt University
151.0,167.0,3.5,3.67,Duke University
168.0,170.0,3.0,3.84,Columbia University
152.0,165.0,4.0,3.79,Columbia University
167.0,157.0,4.0,3.82,Syracuse University
151.0,154.0,4.5,3.7,Temple University
154.0,149.0,4.0,3.7,Temple University
163.0,170.0,5.0,9.43,University Of Texas At Austin
160.0,154.0,4.0,3.95,Purdue University - West Lafayette
160.0,167.0,4.0,3.7,Columbia University
164.0,168.0,3.5,3.91,University Of Wisconsin - Madison
158.0,163.0,5.0,3.32,McGill University
162.0,169.0,5.0,3.75,Columbia University
170.0,150.0,3.0,3.62,Rice University
167.0,167.0,4.5,4.0,Duke University
166.0,162.0,5.5,3.85,Columbia University
167.0,166.0,5.0,3.58,Duke University
167.0,166.0,5.0,3.58,Vanderbilt University
157.0,157.0,4.0,3.91,University Of Wisconsin-Madison
155.0,170.0,3.5,3.92,Columbia University
160.0,163.0,4.5,3.6,Arizona State University
149.0,162.0,3.5,3.32,North Carolina State University
162.0,170.0,4.0,3.69,University Of Pennsylvania
155.0,160.0,4.5,3.35,"University Of California, Davis"
152.0,170.0,3.5,3.92,Ohio State University
165.0,167.0,0.0,4.0,University Of Michigan
155.0,155.0,5.5,2.85,Columbia University
157.0,161.0,5.5,3.82,New York University
160.0,169.0,6.0,3.76,New York University
163.0,170.0,4.5,4.0,University Of Texas At Austin
155.0,170.0,4.0,3.97,University Of Texas At Austin
160.0,170.0,4.5,3.63,Johns Hopkins University
161.0,167.0,4.5,3.8,Columbia University
154.0,167.0,4.0,3.67,University Of Texas At Austin
158.0,157.0,5.0,3.5,University Of Michigan
159.0,169.0,4.0,3.6,Duke University
170.0,165.0,5.0,3.96,Duke University
157.0,166.0,3.5,3.77,Columbia University
157.0,160.0,3.5,3.7,Northeastern University
159.0,155.0,5.5,3.8,University Of Florida
161.0,168.0,3.5,3.4,University Of Texas At Austin
155.0,149.0,4.5,3.7,"University Of California, San Diego"
158.0,153.0,4.5,4.0,Northeastern University
154.0,170.0,3.5,3.55,Colorado State University
162.0,169.0,5.0,3.7,University Of Michigan
159.0,154.0,3.5,3.57,University Of South Florida
158.0,160.0,5.0,4.0,"University Of Colorado, Boulder"
162.0,168.0,4.5,4.0,Northwestern University
159.0,166.0,4.5,3.86,Stanford University
153.0,159.0,3.5,3.6,Iowa State University
162.0,166.0,6.0,3.5,"University Of California, Berkeley"
159.0,158.0,0.0,3.93,University Of Iowa
159.0,158.0,0.0,3.93,University Of Wisconsin-Madison
147.0,167.0,3.0,3.3,Arizona State University
154.0,163.0,4.0,7.08,University Of Florida
166.0,167.0,4.0,3.79,University Of Michigan
